time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,train/n_updates,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss
1,1,2048,400.0,0.0,1689,,,,,,,,,,
2,5,4096,400.0,0.0,734,-0.0307483933866024,0.2,0.0003,0.019043813,0.5043541193008423,0.0035950187999333138,10,0.227294921875,-1.371244054287672,-0.023483191427658312
3,10,6144,400.0,0.0,600,0.011568336747586727,0.2,0.0003,0.02429262,0.5841324031352997,0.0008280953585199313,20,0.26025390625,-1.3602058067917824,-0.030298646570008712
4,14,8192,400.0,0.0,554,-0.0003845676255878061,0.2,0.0003,0.022861654,0.2995392084121704,0.0007188497019797069,30,0.249462890625,-1.3453179378062488,-0.026854217435175087
5,19,10240,376.6296296296296,0.7407407407407407,532,-0.04225240275263786,0.2,0.0003,0.017865095,0.7076856791973114,0.00028501711253738906,40,0.2314453125,-1.3389385458081962,-0.019533221528399737
