time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/approx_kl,train/learning_rate
1555,1,50.0,1,2048,745.0,,,,,,,,,,
1456,2,40.0,2,4096,766.6,1.7102347612380981,-0.0014327764511108398,0.2,-0.003916066480451263,10,-1.3796283777803182,0.08076171875,37.0807513252832,0.0075327894,0.0003
1466,4,28.571428571428573,3,6144,833.2857142857143,56.83905792236328,0.29506081342697144,0.2,-0.006718999295844697,20,-1.3768175691366196,0.078564453125,34.08599654603749,0.009737657,0.0003
1468,5,30.0,4,8192,796.3,0.0793890431523323,0.5795386135578156,0.2,-0.019959996643592604,30,-1.347988384962082,0.301953125,0.12873430518666282,0.03951792,0.0003
1472,6,25.0,5,10240,830.25,0.11726781725883484,0.27430808544158936,0.2,-0.005728372381418012,40,-1.349751403555274,0.160888671875,10.743325343349715,0.007984135,0.0003
1475,8,26.666666666666668,6,12288,808.4,0.2253657579421997,-1.6101014614105225,0.2,-0.011149470688542351,50,-1.3556703705340625,0.08359375,1.3511512450873853,0.01027605,0.0003
1471,9,27.77777777777778,7,14336,792.8333333333334,11.086031913757324,0.5503683984279633,0.2,-0.009659160611772678,60,-1.3426259841769934,0.0921875,20.25674410238862,0.008423496,0.0003
1474,11,25.0,8,16384,813.55,19.848377227783203,0.8086949735879898,0.2,-0.010071034796419553,70,-1.333783034235239,0.078662109375,12.259415274113417,0.009394705,0.0003
1471,12,38.46153846153846,9,18432,678.2692307692307,0.09426088631153107,0.7458078861236572,0.2,-0.02531127520778682,80,-1.308550839871168,0.296337890625,1.1556682574562729,0.0316263,0.0003
1469,13,37.93103448275862,10,20480,678.9655172413793,9.903491020202637,0.767235204577446,0.2,-0.0076629083894658835,90,-1.3213645488023757,0.016748046875,25.451632256992163,0.0042684493,0.0003
1469,15,35.483870967741936,11,22528,699.6774193548387,2.5123441219329834,0.7855944782495499,0.2,-0.017209349462063983,100,-1.3206454418599605,0.149658203125,5.37135465964675,0.015365964,0.0003
1470,16,35.294117647058826,12,24576,698.6764705882352,0.05289638414978981,0.9079134091734886,0.2,-0.013012024195631966,110,-1.2770270347595214,0.230322265625,0.2623669172404334,0.028208647,0.0003
1473,18,40.0,13,26624,652.575,1.0945740938186646,0.9308710843324661,0.2,-0.017970411002170294,120,-1.2837366674095392,0.181298828125,2.205210854951292,0.011747383,0.0003
1473,19,38.095238095238095,14,28672,669.1190476190476,3.386932134628296,0.9421928897500038,0.2,-0.009110194159438834,130,-1.2822934810072184,0.03134765625,16.932458085566758,0.00504079,0.0003
1473,20,36.36363636363637,15,30720,684.1590909090909,0.02732214331626892,0.8248129040002823,0.2,-0.013637458751327358,140,-1.2371728491038083,0.198388671875,0.6361600774573162,0.034986764,0.0003
1473,22,37.5,16,32768,670.6875,-0.005760956555604935,0.9233798384666443,0.2,-0.013567893694562372,150,-1.2171653423458337,0.247314453125,0.310483047820162,0.02249459,0.0003
1472,23,36.0,17,34816,683.86,1.3675645589828491,0.8350176513195038,0.2,-0.008867700950941072,160,-1.248473307490349,0.10263671875,5.337420476321131,0.010316954,0.0003
1471,25,34.61538461538461,18,36864,696.0192307692307,-0.03428724408149719,0.8762242794036865,0.2,-0.02673231015796773,170,-1.2029540654271842,0.242578125,0.1798188989661867,0.021320067,0.0003
1469,26,33.333333333333336,19,38912,707.2777777777778,-0.029423072934150696,0.8375141471624374,0.2,-0.015494535490870476,180,-1.0373992372304202,0.204931640625,0.032363529407302846,0.039123803,0.0003
1469,27,32.142857142857146,20,40960,717.7321428571429,0.01777120679616928,0.9361959248781204,0.2,-0.009525153288268483,190,-1.05533646363765,0.201220703125,0.056745490693720056,0.018890385,0.0003
1468,29,31.03448275862069,21,43008,727.4655172413793,-0.0014412561431527138,0.8987512737512589,0.2,-0.007325691706500948,200,-1.256354481354356,0.126806640625,0.12093572334342753,0.017552972,0.0003
1467,30,31.147540983606557,22,45056,724.6229508196722,0.0026782993227243423,0.8420824557542801,0.2,-0.007235901278909296,210,-1.2178288653492928,0.14951171875,0.11467079464200651,0.016765809,0.0003
1465,32,30.158730158730158,23,47104,733.3650793650794,0.06298185884952545,0.9572293907403946,0.2,-0.014112541955546476,220,-0.9357942689210177,0.230712890625,0.23610092410672223,0.032579046,0.0003
1466,33,29.23076923076923,24,49152,741.5692307692308,-0.04164345562458038,0.8943608999252319,0.2,-0.012148205321864225,230,-0.8059604080393911,0.14580078125,0.010703374822878687,0.025434019,0.0003
1467,34,28.35820895522388,25,51200,749.2835820895523,0.1377173513174057,0.8689547330141068,0.2,-0.013656583841657266,240,-1.1403910286724568,0.05458984375,2.3944600931834428,0.0065511963,0.0003
1468,36,27.142857142857142,26,53248,760.0285714285715,-0.034308165311813354,0.8948314338922501,0.2,-0.02041210440802388,250,-0.6915922477841377,0.1560546875,0.009094412481999825,0.024100116,0.0003
1468,37,26.38888888888889,27,55296,766.6944444444445,-0.02227417565882206,0.7534855306148529,0.2,-0.019206806243164464,260,-0.7814580162987113,0.1591796875,0.01593837036552941,0.056570865,0.0003
1469,39,25.675675675675677,28,57344,773.0,0.49223703145980835,0.7457906603813171,0.2,-0.014379474738962016,270,-1.1772481605410576,0.206787109375,1.1355956312268973,0.019607404,0.0003
