rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/loss,train/n_updates,train/clip_range,train/learning_rate
1000.0,1752,1,0.0,2048,1,,,,,,,,,,
652.1666666666666,1555,2,50.0,4096,2,0.016699862,-0.01935940510884393,-1.3753170069307088,0.10431331396102905,0.0013330386009329231,0.172119140625,-0.03434162959456444,10,0.2,0.0003
739.125,1544,3,37.5,6144,3,0.009356556,-0.010252598286024294,-1.370787797868252,-0.0036873817443847656,94.57995968312025,0.067333984375,11.802383422851562,20,0.2,0.0003
791.3,1541,5,30.0,8192,4,0.016196692,-0.011869295526412315,-1.3595163650810718,0.5223966240882874,0.13636379591771403,0.18916015625,0.0627727210521698,30,0.2,0.0003
772.6153846153846,1527,6,30.76923076923077,10240,5,0.01335881,-0.012113922278513201,-1.3509445495903492,0.47006523609161377,1.1976982472231612,0.107861328125,1.446252465248108,40,0.2,0.0003
802.9333333333333,1526,8,26.666666666666668,12288,6,0.01057471,-0.005679125527967699,-1.3012974325567483,0.19235706329345703,9.520982103486313,0.098779296875,9.466996192932129,50,0.2,0.0003
784.1111111111111,1526,9,27.77777777777778,14336,7,0.009291306,-0.012243662771652453,-1.3449624620378018,0.859740138053894,1.133436773205176,0.0826171875,0.0435490757226944,60,0.2,0.0003
805.7,1527,10,25.0,16384,8,0.009356869,-0.010766338533721864,-1.3288581397384405,0.7746810019016266,5.775354272592812,0.076025390625,0.7666526436805725,70,0.2,0.0003
823.3636363636364,1519,12,22.727272727272727,18432,9,0.008740413,-0.011457332051941193,-1.3204149585217237,0.27943575382232666,11.338852436095475,0.10322265625,2.920973062515259,80,0.2,0.0003
838.0833333333334,1519,13,20.833333333333332,20480,10,0.03475652,-0.01850372816552408,-1.2461299777030945,0.9561090879142284,0.0860078689904185,0.23466796875,0.014380551874637604,90,0.2,0.0003
850.5384615384615,1514,14,19.23076923076923,22528,11,0.021778118,-0.0187774118676316,-1.2615646608173847,0.6952961981296539,0.7507098804228007,0.2607421875,0.11295342445373535,100,0.2,0.0003
861.2142857142857,1514,16,17.857142857142858,24576,12,0.018035024,-0.015559149232285564,-1.2781175307929515,0.2627887725830078,0.08462724378914573,0.271044921875,0.027562759816646576,110,0.2,0.0003
870.4666666666667,1513,17,16.666666666666668,26624,13,0.041705437,-0.01856518314452842,-1.2474209252744912,0.9508322887122631,0.059441543600405565,0.280224609375,0.01630854420363903,120,0.2,0.0003
878.5625,1513,18,15.625,28672,14,0.019003468,-0.014588858452043496,-1.241783357411623,0.6224766969680786,0.1344127028627554,0.15986328125,0.04249471426010132,130,0.2,0.0003
885.7058823529412,1510,20,14.705882352941176,30720,15,0.021596972,-0.01774643534736242,-1.2474926102906465,0.7841556519269943,0.019869480417401063,0.225634765625,-0.016603562980890274,140,0.2,0.0003
892.0555555555555,1507,21,13.88888888888889,32768,16,0.037527062,-0.02478011906496249,-1.292510563135147,0.9581472054123878,0.02140716890207841,0.237158203125,0.020328421145677567,150,0.2,0.0003
877.3333333333334,1507,23,15.384615384615385,34816,17,0.021207064,-0.021319051948376,-1.3226158417761327,0.32463550567626953,0.08537413367303089,0.23994140625,0.01249648630619049,160,0.2,0.0003
883.3170731707318,1506,24,14.634146341463415,36864,18,0.0050795972,-0.005463170621078461,-1.257748483493924,0.005491912364959717,27.44483147248393,0.022265625,1.2436078786849976,170,0.2,0.0003
888.7441860465116,1505,25,13.953488372093023,38912,19,0.015631966,-0.01138098182855174,-1.2165141560137271,-0.019378066062927246,0.01044232545500563,0.230224609375,-0.03125910460948944,180,0.2,0.0003
893.6888888888889,1504,27,13.333333333333334,40960,20,0.027282748,-0.023834292209357955,-1.2645515974611043,0.8068273663520813,0.026498618494952098,0.259912109375,-0.09163761883974075,190,0.2,0.0003
898.2127659574468,1503,28,12.76595744680851,43008,21,0.025491387,-0.013388772858888842,-1.2361884456127883,0.5560601353645325,0.43572940963786094,0.166943359375,0.1436464935541153,200,0.2,0.0003
902.3673469387755,1501,30,12.244897959183673,45056,22,0.01957228,-0.020556261189631185,-1.1792000900954007,0.8623266965150833,0.019481853758043143,0.222705078125,-0.029042065143585205,210,0.2,0.0003
906.1960784313726,1500,31,11.764705882352942,47104,23,0.020206178,-0.02298350923229009,-1.113002634420991,0.7477461397647858,0.01771329321381927,0.21259765625,-0.03251540660858154,220,0.2,0.0003
909.7358490566038,1501,32,11.320754716981131,49152,24,0.02211504,-0.01239024892274756,-1.1144447322934865,0.8651899248361588,0.013637681588443229,0.188427734375,0.019813649356365204,230,0.2,0.0003
898.0357142857143,1499,34,12.5,51200,25,0.027833883,-0.01071200899896212,-1.1596682850271463,0.8530414402484894,0.051386733721301425,0.17333984375,-0.0036596013233065605,240,0.2,0.0003
901.551724137931,1498,35,12.068965517241379,53248,26,0.006670375,-0.0010797905561048537,-0.9852995831519366,0.21686607599258423,21.615664733764426,0.17373046875,14.18166732788086,250,0.2,0.0003
906.3934426229508,1499,36,11.475409836065573,55296,27,0.028261034,-0.008567530190339312,-1.0889312501996755,0.7133572697639465,0.0076466262118628945,0.269775390625,-4.95007261633873e-05,260,0.2,0.0003
895.1904761904761,1498,38,12.698412698412698,57344,28,0.007476776,-0.01232544333615806,-0.8736318694427609,0.8159117996692657,0.09276877041120316,0.12294921875,-0.029573824256658554,270,0.2,0.0003
