rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/value_loss,train/entropy_loss
1000.0,0.0,1,1,1736,2048,,,,,,,,,,
1000.0,0.0,2,2,1536,4096,0.214208984375,-0.03674258291721344,0.2,0.015173568,0.0003,0.018950045108795166,10,-0.020164951961487532,0.0014864261223010544,-1.3730969112366438
1000.0,0.0,3,4,1527,6144,0.25908203125,-0.038321129977703094,0.2,0.01887149,0.0003,0.0737650990486145,20,-0.02235038666112814,0.0005027976511428278,-1.3347317315638065
890.6666666666666,11.11111111111111,4,5,1509,8192,0.191015625,0.0035752796102315187,0.2,0.015438633,0.0003,0.6909698247909546,30,-0.014579772151773796,0.0002564077609008564,-1.3255173232406379
910.5454545454545,9.090909090909092,5,6,1502,10240,0.21044921875,-0.02657511830329895,0.2,0.015858805,0.0003,-0.0021735429763793945,40,-0.007124393762205727,7.965619178846191,-1.33725119009614
924.3076923076923,7.6923076923076925,6,8,1505,12288,0.07431640625,1.3378838300704956,0.2,0.008364685,0.0003,-0.0677565336227417,50,-0.006287547692772932,3.4899592861533164,-1.2759231600910426
934.4,6.666666666666667,7,9,1504,14336,0.2310546875,-0.03577808663249016,0.2,0.017079297,0.0003,-1.4171998500823975,60,-0.02055765720142517,0.002364450147615571,-1.284233396500349
942.1176470588235,5.882352941176471,8,10,1498,16384,0.16123046875,0.23459891974925995,0.2,0.027049437,0.0003,0.6909443438053131,70,-0.00864751213521231,0.4991016201209277,-1.2469400100409984
948.2105263157895,5.2631578947368425,9,12,1495,18432,0.165087890625,0.09729491919279099,0.2,0.014323004,0.0003,0.7432102560997009,80,-0.011179057942354121,0.39818053871858866,-1.2454904031008482
953.1428571428571,4.761904761904762,10,13,1492,20480,0.22607421875,0.618837833404541,0.2,0.024832033,0.0003,0.4547576308250427,90,-0.022913159437302967,1.6662217654287814,-1.2931678645312785
957.2173913043479,4.3478260869565215,11,15,1493,22528,0.25458984375,0.11709734797477722,0.2,0.019309472,0.0003,0.7373353242874146,100,-0.020361783940461464,0.2311444186605513,-1.2651389390230179
924.0769230769231,7.6923076923076925,12,16,1490,24576,0.208203125,0.039806660264730453,0.2,0.019257918,0.0003,0.7428108155727386,110,-0.016811931336997078,0.33497097610961646,-1.2444317512214185
929.5,7.142857142857143,13,17,1490,26624,0.1666015625,0.05487433820962906,0.2,0.025903285,0.0003,0.035453081130981445,120,-0.0028436273016268386,19.6202724646173,-1.0566836506128312
934.2,6.666666666666667,14,19,1489,28672,0.2091796875,0.013942098245024681,0.2,0.031332217,0.0003,0.8923241645097733,130,-0.007403262236039154,0.03514036314409168,-0.9364420857280493
938.3125,6.25,15,20,1488,30720,0.134326171875,-0.019930748268961906,0.2,0.016667292,0.0003,0.027035295963287354,140,-0.01165402602928225,0.015673518897528993,-0.8481605730950832
915.4285714285714,8.571428571428571,16,22,1485,32768,0.212841796875,0.21490344405174255,0.2,0.028087486,0.0003,0.7479369342327118,150,-0.010585424056625926,1.449359821435064,-0.8613190960139037
920.0,8.108108108108109,17,23,1484,34816,0.154736328125,27.759281158447266,0.2,0.01476429,0.0003,0.44054973125457764,160,-0.009302953525912016,19.10320412645815,-0.828560003824532
924.1025641025641,7.6923076923076925,18,24,1483,36864,0.180224609375,0.3103005290031433,0.2,0.01994,0.0003,0.6283606588840485,170,-0.0148190757521661,0.28783507317421025,-0.925483969412744
927.8048780487804,7.317073170731708,19,26,1486,38912,0.160693359375,0.04644911736249924,0.2,0.027587606,0.0003,-13.738526344299316,180,-0.008551909201196395,0.061766156478552145,-1.0986123949289321
931.1627906976744,6.976744186046512,20,27,1486,40960,0.14169921875,0.02933393232524395,0.2,0.031160142,0.0003,-0.031789302825927734,190,-0.01185714839375578,0.006668088449077914,-0.3804420894011855
913.9565217391304,8.695652173913043,21,28,1487,43008,0.073046875,-0.013538281433284283,0.2,0.012789285,0.0003,0.687219500541687,200,-0.0033549033920280634,0.004389778631048102,-0.5678566544316709
900.94,10.0,22,30,1487,45056,0.051611328125,0.016615621745586395,0.2,0.007020245,0.0003,0.4074614644050598,210,-0.005901449854718521,3.6494253749282506,-0.26031977995298805
904.75,9.615384615384615,23,31,1488,47104,0.147509765625,-0.016998957842588425,0.2,0.031836867,0.0003,0.854838028550148,220,-0.013722558578592725,0.6811971121160241,-0.2773064333945513
908.2777777777778,9.25925925925926,24,33,1487,49152,0.130322265625,1.6938958168029785,0.2,0.009284487,0.0003,0.6442530751228333,230,-0.00774168339848984,12.28963090069592,-0.988791061937809
911.5535714285714,8.928571428571429,25,34,1486,51200,0.12421875,10.125828742980957,0.2,0.013885142,0.0003,-0.06840360164642334,240,-0.0023208691854961216,6.486021117027849,-1.020977887697518
914.6034482758621,8.620689655172415,26,35,1487,53248,0.088037109375,3.6394801139831543,0.2,0.014880233,0.0003,0.8966076076030731,250,-0.0038974556984612716,2.4440459496807305,-0.5770835977979004
917.45,8.333333333333334,27,37,1488,55296,0.084716796875,0.04471087455749512,0.2,0.034230884,0.0003,0.915653720498085,260,-0.008512170106405393,1.6448790750117042,-0.6872517845593393
920.1129032258065,8.064516129032258,28,38,1489,57344,0.206298828125,0.17836233973503113,0.2,0.018179122,0.0003,0.7781842648983002,270,-0.020186228858074175,0.5004856606945396,-0.7813884358853102
922.609375,7.8125,29,39,1490,59392,0.244091796875,0.13683246076107025,0.2,0.022669148,0.0003,0.8970328792929649,280,-0.011069316865177824,0.588978091639001,-1.099584486335516
924.9545454545455,7.575757575757576,30,41,1491,61440,0.3759765625,-0.030136218294501305,0.2,0.0920642,0.0003,0.9195249229669571,290,-0.02185189533920493,0.0854570207560755,-0.7897713553160429
913.7536231884058,8.695652173913043,31,42,1491,63488,0.08125,-0.02114298939704895,0.2,0.026041936,0.0003,0.9449983797967434,300,-0.007568688396713696,0.20009180238121188,-0.31795091172680257
916.1830985915493,8.450704225352112,32,43,1491,65536,0.164794921875,-0.04164731502532959,0.2,0.08810422,0.0003,0.5936349630355835,310,-0.010685172365629114,5.947408209717833,-0.8902910964563489
918.4794520547945,8.219178082191782,33,45,1490,67584,0.133203125,0.20534059405326843,0.2,0.016213069,0.0003,0.8243637830018997,320,-0.013531389247509651,1.1231018734164535,-0.830905906483531
920.6533333333333,8.0,34,46,1490,69632,0.164306640625,0.05493970960378647,0.2,0.018306252,0.0003,0.8996872752904892,330,-0.008955062250606716,0.5422136845183558,-0.7971183901652694
